Hourly measurement data supplied by UK-air on 04/05/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"London Bexley",,,,"London Bloomsbury",,,,"London Eltham",,,,"London Harlington",,,,"London Hillingdon",,"London Honor Oak Park",,,,"London Marylebone Road",,,,,,"London N. Kensington",,,,,,"London Teddington Bushy Park",,,,"London Westminster",
2020-06-05,07:00:00,No data,,3.7,V ugm-3 (TEOM FDMS),3.865,V ugm-3 (Ref.eq),2,V ugm-3 (BAM),,,5.5,V ugm-3 (TEOM FDMS),48.808,V ugm-3 (FIDAS),7.412,V ugm-3 (Ref.eq),,,4.625,V ugm-3 (FIDAS),2.382,V ugm-3 (Ref.eq),0.28677,V mgm-3,8.2,V ugm-3 (TEOM FDMS),3.6,V ugm-3 (TEOM FDMS),0.127567,V mgm-3,4.575,V ugm-3 (FIDAS),2.335,V ugm-3 (Ref.eq),11.175,V ugm-3 (FIDAS),2.807,V ugm-3 (Ref.eq),3,V ugm-3 (BAM)
2020-06-05,08:00:00,No data,,6.8,V ugm-3 (TEOM FDMS),7.73,V ugm-3 (Ref.eq),4,V ugm-3 (BAM),,,5.5,V ugm-3 (TEOM FDMS),132.325,V ugm-3 (FIDAS),15.306,V ugm-3 (Ref.eq),,,5.375,V ugm-3 (FIDAS),2.311,V ugm-3 (Ref.eq),0.2753,V mgm-3,9.7,V ugm-3 (TEOM FDMS),0.6,V ugm-3 (TEOM FDMS),0.101474,V mgm-3,7.725,V ugm-3 (FIDAS),2.571,V ugm-3 (Ref.eq),17.625,V ugm-3 (FIDAS),3.231,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
2020-06-05,09:00:00,No data,,5.3,V ugm-3 (TEOM FDMS),7.73,V ugm-3 (Ref.eq),5,V ugm-3 (BAM),,,3.5,V ugm-3 (TEOM FDMS),101.638,V ugm-3 (FIDAS),12.084,V ugm-3 (Ref.eq),,,7.275,V ugm-3 (FIDAS),2.547,V ugm-3 (Ref.eq),No data,V mgm-3,8.8,V ugm-3 (TEOM FDMS),1.6,V ugm-3 (TEOM FDMS),0.104374,V mgm-3,8.9,V ugm-3 (FIDAS),2.759,V ugm-3 (Ref.eq),16.275,V ugm-3 (FIDAS),3.278,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
2020-06-05,10:00:00,No data,,5.5,V ugm-3 (TEOM FDMS),10.628,V ugm-3 (Ref.eq),4,V ugm-3 (BAM),,,4.3,V ugm-3 (TEOM FDMS),69.945,V ugm-3 (FIDAS),8.648,V ugm-3 (Ref.eq),,,9.525,V ugm-3 (FIDAS),2.783,V ugm-3 (Ref.eq),0.263829,V mgm-3,9.9,V ugm-3 (TEOM FDMS),1.4,V ugm-3 (TEOM FDMS),0.086979,V mgm-3,10.3,V ugm-3 (FIDAS),2.665,V ugm-3 (Ref.eq),13.85,V ugm-3 (FIDAS),2.948,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
2020-06-05,11:00:00,No data,,5.1,V ugm-3 (TEOM FDMS),14.493,V ugm-3 (Ref.eq),2,V ugm-3 (BAM),,,2.8,V ugm-3 (TEOM FDMS),56.205,V ugm-3 (FIDAS),6.978,V ugm-3 (Ref.eq),,,7.25,V ugm-3 (FIDAS),2.123,V ugm-3 (Ref.eq),No data,V mgm-3,8.7,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),0.07828,V mgm-3,10.4,V ugm-3 (FIDAS),2.288,V ugm-3 (Ref.eq),7.775,V ugm-3 (FIDAS),2.217,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-06-05,12:00:00,No data,,3.5,V ugm-3 (TEOM FDMS),13.527,V ugm-3 (Ref.eq),5,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),110.513,V ugm-3 (FIDAS),12.318,V ugm-3 (Ref.eq),,,6.275,V ugm-3 (FIDAS),1.769,V ugm-3 (Ref.eq),No data,V mgm-3,7.4,V ugm-3 (TEOM FDMS),1,V ugm-3 (TEOM FDMS),0.089877,V mgm-3,8.875,V ugm-3 (FIDAS),1.769,V ugm-3 (Ref.eq),15.025,V ugm-3 (FIDAS),2.83,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
2020-06-05,13:00:00,No data,,2.9,V ugm-3 (TEOM FDMS),6.763,V ugm-3 (Ref.eq),3,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),40.79,V ugm-3 (FIDAS),5.688,V ugm-3 (Ref.eq),,,6.35,V ugm-3 (FIDAS),2.264,V ugm-3 (Ref.eq),No data,V mgm-3,5.6,V ugm-3 (TEOM FDMS),0.8,V ugm-3 (TEOM FDMS),0.066683,V mgm-3,8.85,V ugm-3 (FIDAS),1.958,V ugm-3 (Ref.eq),11.425,V ugm-3 (FIDAS),2.807,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
2020-06-05,14:00:00,No data,,5.5,V ugm-3 (TEOM FDMS),18.358,V ugm-3 (Ref.eq),3,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),27.47,V ugm-3 (FIDAS),4.141,V ugm-3 (Ref.eq),,,9.3,V ugm-3 (FIDAS),2.288,V ugm-3 (Ref.eq),0.364198,V mgm-3,9,V ugm-3 (TEOM FDMS),-0.3,V ugm-3 (TEOM FDMS),0.063784,V mgm-3,16.1,V ugm-3 (FIDAS),2.854,V ugm-3 (Ref.eq),13.775,V ugm-3 (FIDAS),3.113,V ugm-3 (Ref.eq),4,V ugm-3 (BAM)
2020-06-05,15:00:00,No data,,4.5,V ugm-3 (TEOM FDMS),8.696,V ugm-3 (Ref.eq),4,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),13.093,V ugm-3 (FIDAS),2.517,V ugm-3 (Ref.eq),,,7.075,V ugm-3 (FIDAS),1.981,V ugm-3 (Ref.eq),0.441625,V mgm-3,8.7,V ugm-3 (TEOM FDMS),-0.2,V ugm-3 (TEOM FDMS),0.063784,V mgm-3,10,V ugm-3 (FIDAS),2.099,V ugm-3 (Ref.eq),8.8,V ugm-3 (FIDAS),2.382,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-06-05,16:00:00,No data,,3.7,V ugm-3 (TEOM FDMS),10.628,V ugm-3 (Ref.eq),5,V ugm-3 (BAM),,,7.2,V ugm-3 (TEOM FDMS),8.611,V ugm-3 (FIDAS),3.084,V ugm-3 (Ref.eq),,,6.625,V ugm-3 (FIDAS),2.217,V ugm-3 (Ref.eq),0.42442,V mgm-3,11.6,V ugm-3 (TEOM FDMS),1.9,V ugm-3 (TEOM FDMS),0.118869,V mgm-3,7.825,V ugm-3 (FIDAS),2.17,V ugm-3 (Ref.eq),13,V ugm-3 (FIDAS),3.703,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
2020-06-05,17:00:00,No data,,4.6,V ugm-3 (TEOM FDMS),10.628,V ugm-3 (Ref.eq),6,V ugm-3 (BAM),,,5.4,V ugm-3 (TEOM FDMS),7.333,V ugm-3 (FIDAS),2.513,V ugm-3 (Ref.eq),,,4.3,V ugm-3 (FIDAS),2.005,V ugm-3 (Ref.eq),0.562069,V mgm-3,7.7,V ugm-3 (TEOM FDMS),5.5,V ugm-3 (TEOM FDMS),0.136265,V mgm-3,5.1,V ugm-3 (FIDAS),2.146,V ugm-3 (Ref.eq),5.925,V ugm-3 (FIDAS),2.712,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
2020-06-05,18:00:00,No data,,4.3,V ugm-3 (TEOM FDMS),9.662,V ugm-3 (Ref.eq),5,V ugm-3 (BAM),,,6,V ugm-3 (TEOM FDMS),8.571,V ugm-3 (FIDAS),2.222,V ugm-3 (Ref.eq),,,6.5,V ugm-3 (FIDAS),2.877,V ugm-3 (Ref.eq),0.507583,V mgm-3,11.2,V ugm-3 (TEOM FDMS),4.3,V ugm-3 (TEOM FDMS),0.08118,V mgm-3,6.7,V ugm-3 (FIDAS),2.288,V ugm-3 (Ref.eq),7,V ugm-3 (FIDAS),2.453,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
2020-06-05,19:00:00,No data,,3.8,V ugm-3 (TEOM FDMS),6.763,V ugm-3 (Ref.eq),4,V ugm-3 (BAM),,,6.3,V ugm-3 (TEOM FDMS),5.921,V ugm-3 (FIDAS),1.74,V ugm-3 (Ref.eq),,,6.775,V ugm-3 (FIDAS),2.406,V ugm-3 (Ref.eq),0.490376,V mgm-3,10.7,V ugm-3 (TEOM FDMS),4.7,V ugm-3 (TEOM FDMS),0.066683,V mgm-3,5.475,V ugm-3 (FIDAS),1.863,V ugm-3 (Ref.eq),5.675,V ugm-3 (FIDAS),2.028,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
2020-06-05,20:00:00,No data,,2.3,V ugm-3 (TEOM FDMS),5.797,V ugm-3 (Ref.eq),3,V ugm-3 (BAM),,,5.1,V ugm-3 (TEOM FDMS),5.632,V ugm-3 (FIDAS),1.765,V ugm-3 (Ref.eq),,,5.875,V ugm-3 (FIDAS),2.217,V ugm-3 (Ref.eq),0.478905,V mgm-3,6.7,V ugm-3 (TEOM FDMS),3.9,V ugm-3 (TEOM FDMS),0.069582,V mgm-3,5.575,V ugm-3 (FIDAS),1.792,V ugm-3 (Ref.eq),5.925,V ugm-3 (FIDAS),2.264,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-06-05,21:00:00,No data,,4.3,V ugm-3 (TEOM FDMS),6.763,V ugm-3 (Ref.eq),10,V ugm-3 (BAM),,,5.2,V ugm-3 (TEOM FDMS),7.527,V ugm-3 (FIDAS),2.546,V ugm-3 (Ref.eq),,,5.6,V ugm-3 (FIDAS),2.547,V ugm-3 (Ref.eq),0.493245,V mgm-3,8.3,V ugm-3 (TEOM FDMS),3.3,V ugm-3 (TEOM FDMS),0.07828,V mgm-3,4.85,V ugm-3 (FIDAS),2.052,V ugm-3 (Ref.eq),4.95,V ugm-3 (FIDAS),2.359,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
2020-06-05,22:00:00,No data,,6.3,V ugm-3 (TEOM FDMS),5.797,V ugm-3 (Ref.eq),9,V ugm-3 (BAM),,,4.2,V ugm-3 (TEOM FDMS),6.213,V ugm-3 (FIDAS),2.596,V ugm-3 (Ref.eq),,,5.925,V ugm-3 (FIDAS),2.712,V ugm-3 (Ref.eq),0.484641,V mgm-3,7.4,V ugm-3 (TEOM FDMS),4.3,V ugm-3 (TEOM FDMS),0.095676,V mgm-3,5.8,V ugm-3 (FIDAS),2.241,V ugm-3 (Ref.eq),5.975,V ugm-3 (FIDAS),2.524,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
2020-06-05,23:00:00,No data,,7.3,V ugm-3 (TEOM FDMS),5.797,V ugm-3 (Ref.eq),6,V ugm-3 (BAM),,,5,V ugm-3 (TEOM FDMS),7.105,V ugm-3 (FIDAS),3.132,V ugm-3 (Ref.eq),,,6.925,V ugm-3 (FIDAS),3.019,V ugm-3 (Ref.eq),0.447361,V mgm-3,5.2,V ugm-3 (TEOM FDMS),4.3,V ugm-3 (TEOM FDMS),0.084079,V mgm-3,6.65,V ugm-3 (FIDAS),2.83,V ugm-3 (Ref.eq),5.9,V ugm-3 (FIDAS),2.901,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-06-05,24:00:00,No data,,3.8,V ugm-3 (TEOM FDMS),6.763,V ugm-3 (Ref.eq),6,V ugm-3 (BAM),,,4.5,V ugm-3 (TEOM FDMS),6.284,V ugm-3 (FIDAS),2.949,V ugm-3 (Ref.eq),,,6.375,V ugm-3 (FIDAS),3.113,V ugm-3 (Ref.eq),0.384272,V mgm-3,7.9,V ugm-3 (TEOM FDMS),3.4,V ugm-3 (TEOM FDMS),0.08118,V mgm-3,6.925,V ugm-3 (FIDAS),2.995,V ugm-3 (Ref.eq),6.175,V ugm-3 (FIDAS),3.019,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
2020-06-06,01:00:00,No data,,5.4,V ugm-3 (TEOM FDMS),8.696,V ugm-3 (Ref.eq),6,V ugm-3 (BAM),,,5.2,V ugm-3 (TEOM FDMS),6.824,V ugm-3 (FIDAS),3.062,V ugm-3 (Ref.eq),,,6.25,V ugm-3 (FIDAS),2.972,V ugm-3 (Ref.eq),No data,V mgm-3,7.5,V ugm-3 (TEOM FDMS),0,V ugm-3 (TEOM FDMS),0.081206,V mgm-3,5.575,V ugm-3 (FIDAS),2.594,V ugm-3 (Ref.eq),6,V ugm-3 (FIDAS),3.184,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
2020-06-06,02:00:00,No data,,4,V ugm-3 (TEOM FDMS),6.763,V ugm-3 (Ref.eq),3,V ugm-3 (BAM),,,8.2,V ugm-3 (TEOM FDMS),6.626,V ugm-3 (FIDAS),2.883,V ugm-3 (Ref.eq),,,5.45,V ugm-3 (FIDAS),2.948,V ugm-3 (Ref.eq),0.240887,V mgm-3,6.7,V ugm-3 (TEOM FDMS),1.4,V ugm-3 (TEOM FDMS),0.08894,V mgm-3,5.95,V ugm-3 (FIDAS),2.807,V ugm-3 (Ref.eq),5.525,V ugm-3 (FIDAS),2.877,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-06-06,03:00:00,No data,,5,V ugm-3 (TEOM FDMS),6.763,V ugm-3 (Ref.eq),2,V ugm-3 (BAM),,,2.9,V ugm-3 (TEOM FDMS),5.378,V ugm-3 (FIDAS),2.855,V ugm-3 (Ref.eq),,,5.8,V ugm-3 (FIDAS),2.83,V ugm-3 (Ref.eq),0.226549,V mgm-3,5.7,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),0.081206,V mgm-3,5.55,V ugm-3 (FIDAS),2.642,V ugm-3 (Ref.eq),5.4,V ugm-3 (FIDAS),2.83,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-06-06,04:00:00,No data,,3.7,V ugm-3 (TEOM FDMS),9.662,V ugm-3 (Ref.eq),4,V ugm-3 (BAM),,,6.4,V ugm-3 (TEOM FDMS),5.734,V ugm-3 (FIDAS),2.554,V ugm-3 (Ref.eq),,,6.1,V ugm-3 (FIDAS),2.83,V ugm-3 (Ref.eq),0.220813,V mgm-3,6.8,V ugm-3 (TEOM FDMS),1.9,V ugm-3 (TEOM FDMS),0.095707,V mgm-3,4.725,V ugm-3 (FIDAS),2.618,V ugm-3 (Ref.eq),5.3,V ugm-3 (FIDAS),2.618,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
2020-06-06,05:00:00,No data,,3.9,V ugm-3 (TEOM FDMS),9.662,V ugm-3 (Ref.eq),5,V ugm-3 (BAM),,,6.3,V ugm-3 (TEOM FDMS),5.115,V ugm-3 (FIDAS),2.374,V ugm-3 (Ref.eq),,,6.3,V ugm-3 (FIDAS),2.712,V ugm-3 (Ref.eq),0.232284,V mgm-3,6.9,V ugm-3 (TEOM FDMS),1.1,V ugm-3 (TEOM FDMS),0.078305,V mgm-3,5.65,V ugm-3 (FIDAS),2.524,V ugm-3 (Ref.eq),5.925,V ugm-3 (FIDAS),2.547,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-06-06,06:00:00,No data,,5.5,V ugm-3 (TEOM FDMS),8.696,V ugm-3 (Ref.eq),3,V ugm-3 (BAM),,,0,V ugm-3 (TEOM FDMS),5.92,V ugm-3 (FIDAS),2.72,V ugm-3 (Ref.eq),,,6.725,V ugm-3 (FIDAS),2.925,V ugm-3 (Ref.eq),0.28677,V mgm-3,8.2,V ugm-3 (TEOM FDMS),1.6,V ugm-3 (TEOM FDMS),0.078305,V mgm-3,6.05,V ugm-3 (FIDAS),2.759,V ugm-3 (Ref.eq),6.45,V ugm-3 (FIDAS),2.901,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
2020-06-06,07:00:00,No data,,6.2,V ugm-3 (TEOM FDMS),8.696,V ugm-3 (Ref.eq),6,V ugm-3 (BAM),,,3.1,V ugm-3 (TEOM FDMS),8.857,V ugm-3 (FIDAS),3.157,V ugm-3 (Ref.eq),,,6.8,V ugm-3 (FIDAS),3.066,V ugm-3 (Ref.eq),0.31258,V mgm-3,8.8,V ugm-3 (TEOM FDMS),4.8,V ugm-3 (TEOM FDMS),0.081206,V mgm-3,6.7,V ugm-3 (FIDAS),3.042,V ugm-3 (Ref.eq),8,V ugm-3 (FIDAS),3.208,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-06-06,08:00:00,No data,,3.2,V ugm-3 (TEOM FDMS),10.628,V ugm-3 (Ref.eq),5,V ugm-3 (BAM),,,6.3,V ugm-3 (TEOM FDMS),15.855,V ugm-3 (FIDAS),3.791,V ugm-3 (Ref.eq),,,7.975,V ugm-3 (FIDAS),3.137,V ugm-3 (Ref.eq),No data,V mgm-3,9.3,V ugm-3 (TEOM FDMS),3.6,V ugm-3 (TEOM FDMS),0.069605,V mgm-3,8.025,V ugm-3 (FIDAS),3.16,V ugm-3 (Ref.eq),11.55,V ugm-3 (FIDAS),3.632,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
2020-06-06,09:00:00,No data,,5.6,V ugm-3 (TEOM FDMS),9.662,V ugm-3 (Ref.eq),5,V ugm-3 (BAM),,,8.1,V ugm-3 (TEOM FDMS),16.243,V ugm-3 (FIDAS),3.874,V ugm-3 (Ref.eq),,,8.35,V ugm-3 (FIDAS),3.16,V ugm-3 (Ref.eq),0.281034,V mgm-3,9.2,V ugm-3 (TEOM FDMS),2.3,V ugm-3 (TEOM FDMS),0.066705,V mgm-3,8.2,V ugm-3 (FIDAS),3.16,V ugm-3 (Ref.eq),12.625,V ugm-3 (FIDAS),3.774,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
2020-06-06,10:00:00,No data,,6.9,V ugm-3 (TEOM FDMS),14.493,V ugm-3 (Ref.eq),5,V ugm-3 (BAM),,,7,V ugm-3 (TEOM FDMS),14.373,V ugm-3 (FIDAS),3.931,V ugm-3 (Ref.eq),,,10.25,V ugm-3 (FIDAS),4.198,V ugm-3 (Ref.eq),0.309711,V mgm-3,7.6,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),0.069605,V mgm-3,9.275,V ugm-3 (FIDAS),3.113,V ugm-3 (Ref.eq),17.5,V ugm-3 (FIDAS),5.33,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
2020-06-06,11:00:00,No data,,5.5,V ugm-3 (TEOM FDMS),14.493,V ugm-3 (Ref.eq),6,V ugm-3 (BAM),,,6,V ugm-3 (TEOM FDMS),12.088,V ugm-3 (FIDAS),5.01,V ugm-3 (Ref.eq),,,11.575,V ugm-3 (FIDAS),5.094,V ugm-3 (Ref.eq),0.24949,V mgm-3,11.6,V ugm-3 (TEOM FDMS),5.5,V ugm-3 (TEOM FDMS),0.107308,V mgm-3,10.1,V ugm-3 (FIDAS),4.552,V ugm-3 (Ref.eq),15.775,V ugm-3 (FIDAS),5.118,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
2020-06-06,12:00:00,No data,,6.2,V ugm-3 (TEOM FDMS),7.73,V ugm-3 (Ref.eq),6,V ugm-3 (BAM),,,7.4,V ugm-3 (TEOM FDMS),9.584,V ugm-3 (FIDAS),4.551,V ugm-3 (Ref.eq),,,10.825,V ugm-3 (FIDAS),4.316,V ugm-3 (Ref.eq),0.23802,V mgm-3,11.5,V ugm-3 (TEOM FDMS),5.4,V ugm-3 (TEOM FDMS),0.113108,V mgm-3,9.725,V ugm-3 (FIDAS),4.811,V ugm-3 (Ref.eq),12.275,V ugm-3 (FIDAS),4.458,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
2020-06-06,13:00:00,No data,,7.5,V ugm-3 (TEOM FDMS),5.797,V ugm-3 (Ref.eq),5,V ugm-3 (BAM),,,5.8,V ugm-3 (TEOM FDMS),6.894,V ugm-3 (FIDAS),3.973,V ugm-3 (Ref.eq),,,8,V ugm-3 (FIDAS),4.387,V ugm-3 (Ref.eq),0.206474,V mgm-3,11.3,V ugm-3 (TEOM FDMS),3.1,V ugm-3 (TEOM FDMS),0.13921,V mgm-3,7.45,V ugm-3 (FIDAS),4.175,V ugm-3 (Ref.eq),6.775,V ugm-3 (FIDAS),3.962,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
2020-06-06,14:00:00,No data,,5.2,V ugm-3 (TEOM FDMS),5.797,V ugm-3 (Ref.eq),3,V ugm-3 (BAM),,,5.4,V ugm-3 (TEOM FDMS),5.097,V ugm-3 (FIDAS),3.351,V ugm-3 (Ref.eq),,,5.55,V ugm-3 (FIDAS),3.231,V ugm-3 (Ref.eq),No data,V mgm-3,9.3,V ugm-3 (TEOM FDMS),4.5,V ugm-3 (TEOM FDMS),0.14211,V mgm-3,6.125,V ugm-3 (FIDAS),3.962,V ugm-3 (Ref.eq),6,V ugm-3 (FIDAS),3.019,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
2020-06-06,15:00:00,No data,,5.3,V ugm-3 (TEOM FDMS),5.797,V ugm-3 (Ref.eq),2,V ugm-3 (BAM),,,4.5,V ugm-3 (TEOM FDMS),5.393,V ugm-3 (FIDAS),3.409,V ugm-3 (Ref.eq),,,4.725,V ugm-3 (FIDAS),2.877,V ugm-3 (Ref.eq),0.252358,V mgm-3,11.2,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),0.133409,V mgm-3,5.45,V ugm-3 (FIDAS),3.514,V ugm-3 (Ref.eq),7.475,V ugm-3 (FIDAS),3.467,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
2020-06-06,16:00:00,No data,,5,V ugm-3 (TEOM FDMS),7.73,V ugm-3 (Ref.eq),4,V ugm-3 (BAM),,,5.6,V ugm-3 (TEOM FDMS),5.159,V ugm-3 (FIDAS),3.632,V ugm-3 (Ref.eq),,,5.45,V ugm-3 (FIDAS),3.561,V ugm-3 (Ref.eq),0.169194,V mgm-3,12.1,V ugm-3 (TEOM FDMS),2.6,V ugm-3 (TEOM FDMS),0.13921,V mgm-3,5.925,V ugm-3 (FIDAS),3.821,V ugm-3 (Ref.eq),7.275,V ugm-3 (FIDAS),3.821,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
2020-06-06,17:00:00,No data,,7.5,V ugm-3 (TEOM FDMS),8.696,V ugm-3 (Ref.eq),6,V ugm-3 (BAM),,,5.6,V ugm-3 (TEOM FDMS),5.173,V ugm-3 (FIDAS),3.767,V ugm-3 (Ref.eq),,,6.2,V ugm-3 (FIDAS),4.175,V ugm-3 (Ref.eq),0.189269,V mgm-3,12.9,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),0.133409,V mgm-3,7.575,V ugm-3 (FIDAS),4.363,V ugm-3 (Ref.eq),10.2,V ugm-3 (FIDAS),4.269,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
2020-06-06,18:00:00,No data,,4.7,V ugm-3 (TEOM FDMS),6.763,V ugm-3 (Ref.eq),6,V ugm-3 (BAM),,,2.1,V ugm-3 (TEOM FDMS),7.081,V ugm-3 (FIDAS),3.351,V ugm-3 (Ref.eq),,,7.475,V ugm-3 (FIDAS),3.797,V ugm-3 (Ref.eq),0.232284,V mgm-3,10.9,V ugm-3 (TEOM FDMS),6.5,V ugm-3 (TEOM FDMS),0.159512,V mgm-3,6.275,V ugm-3 (FIDAS),3.325,V ugm-3 (Ref.eq),8.25,V ugm-3 (FIDAS),3.656,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-06-06,19:00:00,No data,,4.2,V ugm-3 (TEOM FDMS),3.865,V ugm-3 (Ref.eq),7,V ugm-3 (BAM),,,2.6,V ugm-3 (TEOM FDMS),5.726,V ugm-3 (FIDAS),3.096,V ugm-3 (Ref.eq),,,4.85,V ugm-3 (FIDAS),3.302,V ugm-3 (Ref.eq),0.31258,V mgm-3,8.8,V ugm-3 (TEOM FDMS),5.9,V ugm-3 (TEOM FDMS),0.208816,V mgm-3,5.375,V ugm-3 (FIDAS),3.208,V ugm-3 (Ref.eq),4.525,V ugm-3 (FIDAS),2.642,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-06-06,20:00:00,No data,,7.4,V ugm-3 (TEOM FDMS),2.899,V ugm-3 (Ref.eq),7,V ugm-3 (BAM),,,6.2,V ugm-3 (TEOM FDMS),7.438,V ugm-3 (FIDAS),3.741,V ugm-3 (Ref.eq),,,5.875,V ugm-3 (FIDAS),4.434,V ugm-3 (Ref.eq),0.23802,V mgm-3,7.5,V ugm-3 (TEOM FDMS),7.1,V ugm-3 (TEOM FDMS),0.255218,V mgm-3,8.2,V ugm-3 (FIDAS),4.788,V ugm-3 (Ref.eq),5.225,V ugm-3 (FIDAS),2.972,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
2020-06-06,21:00:00,No data,,9.3,V ugm-3 (TEOM FDMS),8.696,V ugm-3 (Ref.eq),6,V ugm-3 (BAM),,,6.3,V ugm-3 (TEOM FDMS),8.09,V ugm-3 (FIDAS),4.826,V ugm-3 (Ref.eq),,,7.275,V ugm-3 (FIDAS),5.142,V ugm-3 (Ref.eq),0.240887,V mgm-3,10.3,V ugm-3 (TEOM FDMS),3.9,V ugm-3 (TEOM FDMS),0.26682,V mgm-3,8.525,V ugm-3 (FIDAS),6.038,V ugm-3 (Ref.eq),6.15,V ugm-3 (FIDAS),3.774,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
2020-06-06,22:00:00,No data,,8.6,V ugm-3 (TEOM FDMS),9.662,V ugm-3 (Ref.eq),9,V ugm-3 (BAM),,,6.8,V ugm-3 (TEOM FDMS),7.246,V ugm-3 (FIDAS),3.876,V ugm-3 (Ref.eq),,,7.975,V ugm-3 (FIDAS),5.708,V ugm-3 (Ref.eq),0.174929,V mgm-3,9.8,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),0.28132,V mgm-3,6.975,V ugm-3 (FIDAS),4.929,V ugm-3 (Ref.eq),7.1,V ugm-3 (FIDAS),4.717,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
2020-06-06,23:00:00,No data,,9,V ugm-3 (TEOM FDMS),8.696,V ugm-3 (Ref.eq),6,V ugm-3 (BAM),,,8.2,V ugm-3 (TEOM FDMS),5.708,V ugm-3 (FIDAS),3.573,V ugm-3 (Ref.eq),,,9.2,V ugm-3 (FIDAS),6.651,V ugm-3 (Ref.eq),0.172062,V mgm-3,11.1,V ugm-3 (TEOM FDMS),5.9,V ugm-3 (TEOM FDMS),0.229117,V mgm-3,6.4,V ugm-3 (FIDAS),4.222,V ugm-3 (Ref.eq),7.575,V ugm-3 (FIDAS),5.094,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
2020-06-06,24:00:00,No data,,10.1,V ugm-3 (TEOM FDMS),10.628,V ugm-3 (Ref.eq),6,V ugm-3 (BAM),,,6.9,V ugm-3 (TEOM FDMS),4.686,V ugm-3 (FIDAS),2.809,V ugm-3 (Ref.eq),,,7.375,V ugm-3 (FIDAS),5.495,V ugm-3 (Ref.eq),0.195004,V mgm-3,9.3,V ugm-3 (TEOM FDMS),6.8,V ugm-3 (TEOM FDMS),0.214616,V mgm-3,5.875,V ugm-3 (FIDAS),4.269,V ugm-3 (Ref.eq),6.65,V ugm-3 (FIDAS),4.717,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
